ZONE CHART,,,,,,,,,
,,,,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,,,,
,,,,,,,,,
For shipments originating in ZIP Codes 135-01 to 135-99. To determine zone,,,,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,,,,
,,,,,,,,,
ZONES,,,,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air,,,
676,006,306,206,246,136,106,,,
677,006,306,206,246,136,106,,,
678,006,306,206,246,136,106,,,
679,006,306,206,246,136,106,,,
680,006,306,206,246,136,106,,,
681,006,306,206,246,136,106,,,
683,006,306,206,246,136,106,,,
684,006,306,206,246,136,106,,,
685,006,306,206,246,136,106,,,
686,006,306,206,246,136,106,,,
687,006,306,206,246,136,106,,,
688,006,306,206,246,136,106,,,
689,006,306,206,246,136,106,,,
690,006,306,206,246,136,106,,,
691,006,306,206,246,136,106,,,
692,006,306,206,246,136,106,,,
693,006,306,206,246,136,106,,,
700,006,306,206,246,136,106,,,
701,006,306,206,246,136,106,,,
703,006,306,206,246,136,106,,,
704,006,306,206,246,136,106,,,
705,006,306,206,246,136,106,,,
706,006,306,206,246,136,106,,,
707,006,306,206,246,136,106,,,
708,006,306,206,246,136,106,,,
710,006,306,206,246,136,106,,,
711,006,306,206,246,136,106,,,
712,006,306,206,246,136,106,,,
713,006,306,206,246,136,106,,,
714,006,306,206,246,136,106,,,
716,006,306,206,246,136,106,,,
717,006,306,206,246,136,106,,,
718,006,306,206,246,136,106,,,
719,006,306,206,246,136,106,,,
720,006,306,206,246,136,106,,,
721,006,306,206,246,136,106,,,
722,006,306,206,246,136,106,,,
723,005,305,205,245,135,105,,,
724,005,305,205,245,135,105,,,
725,005,305,205,245,135,105,,,
726,006,306,206,246,136,106,,,
727,006,306,206,246,136,106,,,
728,006,306,206,246,136,106,,,
729,006,306,206,246,136,106,,,
730,006,306,206,246,136,106,,,
731,006,306,206,246,136,106,,,
733,007,307,207,247,137,107,,,
734,006,306,206,246,136,106,,,
735,006,306,206,246,136,106,,,
736,006,306,206,246,136,106,,,
737,006,306,206,246,136,106,,,
738,006,306,206,246,136,106,,,
739,006,306,206,246,136,106,,,
740,006,306,206,246,136,106,,,
741,006,306,206,246,136,106,,,
743,006,306,206,246,136,106,,,
744,006,306,206,246,136,106,,,
745,006,306,206,246,136,106,,,
746,006,306,206,246,136,106,,,
747,006,306,206,246,136,106,,,
748,006,306,206,246,136,106,,,
749,006,306,206,246,136,106,,,
750,006,306,206,246,136,106,,,
751,006,306,206,246,136,106,,,
752,006,306,206,246,136,106,,,
753,006,306,206,246,136,106,,,
754,006,306,206,246,136,106,,,
755,006,306,206,246,136,106,,,
756,006,306,206,246,136,106,,,
757,006,306,206,246,136,106,,,
758,006,306,206,246,136,106,,,
759,006,306,206,246,136,106,,,
760,006,306,206,246,136,106,,,
761,006,306,206,246,136,106,,,
762,006,306,206,246,136,106,,,
763,006,306,206,246,136,106,,,
764,006,306,206,246,136,106,,,
765,007,307,207,247,137,107,,,
766,007,307,207,247,137,107,,,
767,007,307,207,247,137,107,,,
768,007,307,207,247,137,107,,,
769,007,307,207,247,137,107,,,
770,007,307,207,247,137,107,,,
772,007,307,207,247,137,107,,,
773,006,306,206,246,136,106,,,
774,007,307,207,247,137,107,,,
775,007,307,207,247,137,107,,,
776,006,306,206,246,136,106,,,
777,006,306,206,246,136,106,,,
778,007,307,207,247,137,107,,,
779,007,307,207,247,137,107,,,
780,007,307,207,247,137,107,,,
781,007,307,207,247,137,107,,,
782,007,307,207,247,137,107,,,
783,007,307,207,247,137,107,,,
784,007,307,207,247,137,107,,,
785,007,307,207,247,137,107,,,
786,007,307,207,247,137,107,,,
787,007,307,207,247,137,107,,,
788,007,307,207,247,137,107,,,
789,007,307,207,247,137,107,,,
790,007,307,207,247,137,107,,,
791,007,307,207,247,137,107,,,
792,007,307,207,247,137,107,,,
793,007,307,207,247,137,107,,,
794,007,307,207,247,137,107,,,
795,007,307,207,247,137,107,,,
796,007,307,207,247,137,107,,,
797,007,307,207,247,137,107,,,
798,008,308,208,248,138,108,,,
799,008,308,208,248,138,108,,,
800,007,307,207,247,137,107,,,
801,007,307,207,247,137,107,,,
802,007,307,207,247,137,107,,,
803,007,307,207,247,137,107,,,
804,007,307,207,247,137,107,,,
805,007,307,207,247,137,107,,,
806,007,307,207,247,137,107,,,
807,007,307,207,247,137,107,,,
808,007,307,207,247,137,107,,,
809,007,307,207,247,137,107,,,
810,007,307,207,247,137,107,,,
811,007,307,207,247,137,107,,,
812,007,307,207,247,137,107,,,
813,007,307,207,247,137,107,,,
